budget,id,original_title,revenue,release_date,month,year,popularity,runtime,status,title,vote_average,vote_count
385907,3059,Intolerance,8394751,9/4/1916,4,1916,3.232447,197,Released,Intolerance,7.4,60
245000,3060,The Big Parade,22000000,11/5/1925,5,1925,0.785744,151,Released,The Big Parade,7,21
92620000,19,Metropolis,650422,1/10/1927,10,1927,32.351527,153,Released,Metropolis,8,657
0,905,Die Büchse der Pandora,0,1/30/1929,30,1929,1.824184,109,Released,Pandora's Box,7.6,45
379000,65203,The Broadway Melody,4358000,2/8/1929,8,1929,0.968865,100,Released,The Broadway Melody,5,19
3950000,22301,Hell's Angels,8000000,11/15/1930,15,1930,8.484123,127,Released,Hell's Angels,6.1,19
4,22649,A Farewell to Arms,25,12/8/1932,8,1932,1.199451,89,Released,A Farewell to Arms,6.2,28
439000,3062,42nd Street,2281000,2/2/1933,2,1933,1.933366,89,Released,42nd Street,6.1,37
200000,43595,She Done Him Wrong,2200000,2/9/1933,9,1933,0.622752,66,Released,She Done Him Wrong,5.1,27
325000,3078,It Happened One Night,4500000,2/22/1934,22,1934,11.871424,105,Released,It Happened One Night,7.7,275
609000,3080,Top Hat,3202000,9/6/1935,6,1935,3.898498,101,Released,Top Hat,7.4,59
1,3082,Modern Times,8500000,2/5/1936,5,1936,28.27648,87,Released,Modern Times,8.1,856
1200000,43884,The Charge of the Light Brigade,2736000,10/20/1936,20,1936,2.968235,115,Released,The Charge of the Light Brigade,6.8,18
0,43867,The Prisoner of Zenda,0,9/3/1937,3,1937,4.021389,101,Released,The Prisoner of Zenda,8.4,11
1488423,408,Snow White and the Seven Dwarfs,184925486,12/20/1937,20,1937,80.171283,83,Released,Snow White and the Seven Dwarfs,6.9,1914
1644736,34106,You Can't Take It With You,7433101,8/23/1938,23,1938,3.426314,126,Released,You Can't Take It With You,7.2,79
2000000,43839,Alexander's Ragtime Band,4000000,5/24/1938,24,1938,0.483974,106,Released,Alexander's Ragtime Band,4.8,6
1500000,3083,Mr. Smith Goes to Washington,9600000,10/19/1939,19,1939,12.2624,129,Released,Mr. Smith Goes to Washington,7.9,241
4000000,770,Gone with the Wind,400176459,12/15/1939,15,1939,48.98255,238,Released,Gone with the Wind,7.7,970
2777000,630,The Wizard of Oz,33754967,8/15/1939,15,1939,67.417542,102,Released,The Wizard of Oz,7.4,1642
1288000,223,Rebecca,6000000,4/12/1940,12,1940,18.426825,130,Released,Rebecca,7.7,336
2280000,756,Fantasia,83320000,11/13/1940,13,1940,32.875469,124,Released,Fantasia,7.2,808
2600000,10895,Pinocchio,84300000,2/23/1940,23,1940,46.007991,88,Released,Pinocchio,6.9,1355
2000000,55604,Boom Town,9172000,8/30/1940,30,1940,1.867004,119,Released,Boom Town,6.5,8
0,60400,The Blue Bird,0,1/19/1940,19,1940,1.280733,88,Released,The Blue Bird,6.4,8
1250000,43266,How Green Was My Valley,6000000,10/28/1941,28,1941,7.70019,118,Released,How Green Was My Valley,6.8,72
878000,289,Casablanca,10462500,11/26/1942,26,1942,43.729123,102,Released,Casablanca,7.9,1422
858000,3170,Bambi,267447150,8/14/1942,14,1942,47.651878,70,Released,Bambi,6.8,1405
2361000,43546,Bathing Beauty,6892000,7/1/1944,1,1944,0.628051,101,Released,Bathing Beauty,7,4
2627000,43306,A Guy Named Joe,5363000,3/1/1944,1,1944,0.531444,120,Released,A Guy Named Joe,6,8
1250000,28580,The Lost Weekend,11000000,11/25/1945,25,1945,6.903314,101,Released,The Lost Weekend,7.4,112
1500000,4174,Spellbound,7000000,12/28/1945,28,1945,11.145915,111,Released,Spellbound,7.3,160
0,27686,State Fair,0,8/29/1945,29,1945,1.847822,96,Released,State Fair,6.2,19
2160000,43610,The Valley of Decision,9132000,6/1/1945,1,1945,0.1813,119,Released,The Valley of Decision,5.8,4
3180000,1585,It's a Wonderful Life,9644124,12/20/1946,20,1946,42.868495,130,Released,It's a Wonderful Life,8,1076
2100000,887,The Best Years of Our Lives,23650000,12/25/1946,25,1946,8.38717,172,Released,The Best Years of Our Lives,7.6,143
6000000,32275,Duel in the Sun,20400000,12/31/1946,31,1946,7.60445,144,Released,Duel in the Sun,6.2,37
2300000,3766,The Lady from Shanghai,0,12/24/1947,24,1947,8.055084,87,Released,The Lady from Shanghai,7.2,102
2000000,33667,Gentleman's Agreement,7800000,11/11/1947,11,1947,5.381536,118,Released,Gentleman's Agreement,6.8,47
0,56930,Tycoon,0,12/27/1947,27,1947,0.042442,128,Released,Tycoon,6.6,4
3000000,3089,Red River,9012000,8/26/1948,26,1948,5.344815,133,Released,Red River,7.3,82
0,51130,Open Secret,0,2/14/1948,14,1948,0.186401,68,Released,Open Secret,7,2
3700000,35032,The Pirate,2956000,6/11/1948,11,1948,0.90522,102,Released,The Pirate,6.6,17
1600000,13909,She Wore a Yellow Ribbon,5400000,10/22/1949,22,1949,8.535178,103,Released,She Wore a Yellow Ribbon,7.1,61
